#Geometry     HF/cc-pVTZ       MP2/cc-pVTZ      CCSD/cc-pVTZ     CCSD(T)/cc-pVTZ
methane_00049 -40.210589958283 -40.409186701209 -40.429645993208 -40.435881711471
methane_00050 -40.208675989662 -40.407234667175 -40.427583048053 -40.433768303676
methane_00051 -40.204403106778 -40.403765079501 -40.424221101569 -40.430556933581
methane_00052 -40.209267261454 -40.407976059074 -40.428449813533 -40.434701048107
methane_00053 -40.210914147984 -40.409321213426 -40.429655337559 -40.435823510147
methane_00054 -40.205921677000 -40.404733661296 -40.425209483485 -40.431462609212
methane_00055 -40.205623535808 -40.404896753499 -40.425538743535 -40.431916753657
methane_00056 -40.206476764929 -40.405599154728 -40.425890543341 -40.432138785664
methane_00057 -40.205750559258 -40.404993568877 -40.425437257179 -40.431752673564
methane_00058 -40.208731217769 -40.407605593449 -40.428191468567 -40.434502808108
methane_00059 -40.209420340031 -40.407843840640 -40.428236875423 -40.434421376222
methane_00060 -40.209158450996 -40.408005680193 -40.428646676800 -40.434975143951
methane_00061 -40.210503872320 -40.409020453270 -40.429321721919 -40.435493883084
methane_00062 -40.210995038002 -40.409564784800 -40.430010427230 -40.436240266479
methane_00063 -40.206666547539 -40.405719119382 -40.426429225277 -40.432802584348
methane_00064 -40.208188062405 -40.406776815502 -40.427149232682 -40.433344834094
methane_00065 -40.209882893634 -40.408603680043 -40.429085291945 -40.435344240268
methane_00066 -40.203466753677 -40.403045310736 -40.423757472130 -40.430205256815
methane_00067 -40.207198786608 -40.405969174654 -40.426282504376 -40.432486120670
methane_00068 -40.210576288884 -40.409095633157 -40.429511185218 -40.435721967558
methane_00069 -40.208190886935 -40.407073917184 -40.427777695425 -40.434129029818
methane_00070 -40.211186583947 -40.409619783901 -40.430047899800 -40.436250024654
methane_00071 -40.206531348285 -40.405226776412 -40.425539171222 -40.431725726191
methane_00072 -40.206330389454 -40.405364977797 -40.425901487422 -40.432213569111
methane_00073 -40.208745518031 -40.407191454204 -40.427601309555 -40.433792027260
methane_00074 -40.209491544023 -40.408030349214 -40.428545864639 -40.434785629245
methane_00075 -40.210419968300 -40.408608881661 -40.428764760759 -40.434841582985
methane_00076 -40.202880332745 -40.402334081325 -40.423056627939 -40.429478272846
methane_00077 -40.210014000016 -40.408146430738 -40.428205783294 -40.434241140921
methane_00078 -40.206866822429 -40.405787080950 -40.426293336996 -40.432579218658
methane_00079 -40.205333866404 -40.404473663934 -40.425042518356 -40.431374781615
methane_00080 -40.209703652800 -40.408207357593 -40.428471991248 -40.434629201348
methane_00081 -40.205830510879 -40.405063318280 -40.425435337083 -40.431723386509
methane_00082 -40.208404515722 -40.407137232229 -40.427560395937 -40.433798385118
methane_00083 -40.208515840077 -40.407084192956 -40.427507875357 -40.433718400326
methane_00084 -40.209213353510 -40.408086585563 -40.428791789191 -40.435145799232
methane_00085 -40.212001658639 -40.410124094755 -40.430385538728 -40.436489949544
methane_00086 -40.211089455410 -40.409515277260 -40.429899043537 -40.436084588768
methane_00087 -40.209117814139 -40.407763459751 -40.428350962634 -40.434629651877
methane_00088 -40.206795130145 -40.405448417947 -40.425983775159 -40.432238461193
methane_00089 -40.203274099357 -40.402364686940 -40.422804164865 -40.429074617000
methane_00090 -40.204775021354 -40.403701709806 -40.423825094069 -40.429987769901
methane_00091 -40.204635897967 -40.404026397308 -40.424576264638 -40.430941638859
methane_00092 -40.204118338734 -40.403049248084 -40.423127659008 -40.429268580225
methane_00093 -40.205704524900 -40.404894983618 -40.425251013266 -40.431529565897
methane_00094 -40.202408703177 -40.401932507373 -40.422707508677 -40.429156108352
methane_00095 -40.208235922501 -40.406539867608 -40.426684149085 -40.432767413174
methane_00096 -40.203617773225 -40.403073818718 -40.423957919573 -40.430438807074
methane_00097 -40.208254629346 -40.407047409610 -40.427607898555 -40.433893796867
methane_00098 -40.210814391225 -40.409123118462 -40.429378647036 -40.435506433530
methane_00099 -40.207753501101 -40.406757237339 -40.427492575856 -40.433870115187
methane_00100 -40.209789891769 -40.407936936202 -40.428168040962 -40.434257453069
ethane_00000 -79.256658383265 -79.627373417873 -79.659042025911 -79.672399795783
ethane_00001 -79.242231744808 -79.614202014440 -79.645680480536 -79.659245307226
ethane_00002 -79.245632997522 -79.617225200559 -79.648551484207 -79.661919804476
ethane_00003 -79.246638531619 -79.617900062207 -79.649573378062 -79.663006917505
ethane_00004 -79.246147328475 -79.617166779657 -79.648948173744 -79.662511113140
ethane_00005 -79.248302382150 -79.619144261640 -79.650583459512 -79.663761515072
ethane_00006 -79.244292634246 -79.615365988396 -79.647044678555 -79.660493183793
ethane_00007 -79.251814077233 -79.622737183387 -79.654313841783 -79.667651532681
ethane_00008 -79.249158928815 -79.620274583401 -79.652058880420 -79.665526103589
ethane_00009 -79.250573219645 -79.621140469302 -79.652681707609 -79.665949127745
ethane_00010 -79.249336023942 -79.620507418325 -79.652077828988 -79.665520465957
ethane_00011 -79.247295137890 -79.618499825191 -79.649808070180 -79.663025226433
ethane_00012 -79.245905396533 -79.617026943559 -79.648744030591 -79.662241022133
ethane_00013 -79.249720090773 -79.620400697818 -79.651748776466 -79.664933236630
ethane_00014 -79.253181451516 -79.624017896381 -79.655767039966 -79.669193853923
ethane_00015 -79.253145922174 -79.623450871040 -79.654786342397 -79.667967470544
ethane_00016 -79.249698406063 -79.620706229743 -79.652428558311 -79.665900046089
ethane_00017 -79.255119636573 -79.625355381381 -79.656796089566 -79.669967251746
ethane_00018 -79.247039090814 -79.618667646897 -79.650352231585 -79.663851615426
ethane_00019 -79.249718191315 -79.620878327516 -79.652373649759 -79.665679251542
ethane_00020 -79.247494934930 -79.618123790728 -79.649848210708 -79.663291111903
ethane_00021 -79.250978179359 -79.622273191943 -79.654042540287 -79.667477004776
ethane_00022 -79.251134867595 -79.622280126456 -79.653734320713 -79.667027559119
ethane_00023 -79.250492432441 -79.621256699304 -79.652681925825 -79.665951341868
ethane_00024 -79.245178419914 -79.617038822499 -79.648687583962 -79.662188126709
ethane_00025 -79.245618588825 -79.617016998667 -79.648717757141 -79.662270122943
ethane_00026 -79.253349710976 -79.623921790098 -79.655392339849 -79.668706389745
ethane_00027 -79.249817818815 -79.621005987793 -79.652676160491 -79.666066312779
ethane_00028 -79.249225588567 -79.620366825904 -79.651903324903 -79.665262490746
ethane_00029 -79.254116737366 -79.624279423025 -79.655606846458 -79.668729886913
ethane_00030 -79.251483867774 -79.622319879723 -79.654005778751 -79.667405956916
ethane_00031 -79.252507833250 -79.623062669736 -79.654326591523 -79.667466151837
ethane_00032 -79.251882787171 -79.622573924320 -79.654090129588 -79.667476340123
ethane_00033 -79.252520901358 -79.623341534643 -79.654836659069 -79.668132728815
ethane_00034 -79.237161155874 -79.610002198225 -79.641693787841 -79.655468689425
ethane_00035 -79.249897281076 -79.620644235838 -79.651969887296 -79.665186707012
ethane_00036 -79.250643074740 -79.621745724719 -79.653574965502 -79.667082137497
ethane_00037 -79.250283334622 -79.621481892287 -79.652983338773 -79.666318614863
ethane_00038 -79.254773516691 -79.625062408710 -79.656573786021 -79.669864055602
ethane_00039 -79.242685654919 -79.615005837927 -79.646840732929 -79.660513593152
ethane_00040 -79.252089182810 -79.621641593747 -79.652878932640 -79.665905673594
ethane_00041 -79.245937820281 -79.617740986247 -79.649674927235 -79.663278283003
ethane_00042 -79.241020383654 -79.612688290855 -79.644537081277 -79.658115515901
ethane_00043 -79.248260777689 -79.618711403901 -79.650301464598 -79.663591299226
ethane_00044 -79.241595637281 -79.613728264187 -79.645556634863 -79.659218018856
ethane_00045 -79.248363011324 -79.619152973078 -79.650563722352 -79.663793721068
ethane_00046 -79.240334584676 -79.612526981539 -79.644180964228 -79.657795618053
ethane_00047 -79.249287561484 -79.619801226941 -79.651125868853 -79.664254614421
ethane_00048 -79.249710176238 -79.620996191123 -79.652733305840 -79.666219326869
ethane_00049 -79.250345442041 -79.621364757181 -79.653072314517 -79.666472114478
ethane_00050 -79.253264071102 -79.623656520856 -79.655002911628 -79.668164103047
ethane_00051 -79.248642997923 -79.620127429706 -79.651974453311 -79.665588186746
ethane_00052 -79.254282378685 -79.624550735362 -79.655916269735 -79.669013330469
ethane_00053 -79.250286063632 -79.620927697261 -79.652585005477 -79.665931874017
ethane_00054 -79.251651581538 -79.622835160322 -79.654441065865 -79.667791206993
ethane_00055 -79.252314881700 -79.622843638301 -79.654385142021 -79.667682925914
ethane_00056 -79.245579104982 -79.617045724685 -79.648468441831 -79.661794662441
ethane_00057 -79.252786018374 -79.623409027693 -79.655017199401 -79.668363064406
ethane_00058 -79.251394683544 -79.622419634819 -79.654105318665 -79.667535643576
ethane_00059 -79.249619428628 -79.620353771710 -79.651810364927 -79.665172370883
ethane_00060 -79.244770063746 -79.616242735291 -79.647831665997 -79.661241851066
ethane_00061 -79.250768543628 -79.621221247797 -79.652704998252 -79.665940618568
ethane_00062 -79.252035463492 -79.622822447438 -79.654352847142 -79.667660750384
ethane_00063 -79.254291765401 -79.624993051626 -79.656446848485 -79.669708257534
ethane_00064 -79.247576087991 -79.618766009319 -79.650724585715 -79.664373679307
ethane_00065 -79.243667727236 -79.615275369378 -79.646489169931 -79.659722192684
ethane_00066 -79.242949021739 -79.614371305159 -79.646061656567 -79.659669980682
ethane_00067 -79.240815939400 -79.613292366064 -79.644864889589 -79.658339925270
ethane_00068 -79.247628222535 -79.618247494948 -79.649796358334 -79.663225171292
ethane_00069 -79.247169902069 -79.618860929161 -79.650570094617 -79.664050622098
ethane_00070 -79.248621859705 -79.619405942623 -79.650735397682 -79.663947346717
ethane_00071 -79.241958667511 -79.613620915341 -79.645532841686 -79.659270929612
ethane_00072 -79.249453695892 -79.620436888079 -79.652117218863 -79.665464426345
ethane_00073 -79.246503956798 -79.617551472471 -79.649170308808 -79.662604676971
ethane_00074 -79.250459093710 -79.621346754690 -79.652918396868 -79.666231744078
ethane_00075 -79.248199512614 -79.619639979318 -79.651367607240 -79.664805314648
ethane_00076 -79.253839288718 -79.623925620918 -79.655233402633 -79.668332164914
ethane_00077 -79.244016154475 -79.615913616694 -79.647412548440 -79.660832449782
ethane_00078 -79.243031329921 -79.615060272501 -79.646697156807 -79.660231641508
ethane_00079 -79.246101372057 -79.617020603134 -79.648403027766 -79.661609038067
ethane_00080 -79.244975689325 -79.615845518823 -79.647555937405 -79.661082496969
ethane_00081 -79.242801996746 -79.614418630664 -79.645906731583 -79.659198436140
ethane_00082 -79.252840508174 -79.623356428473 -79.655027889384 -79.668415860388
ethane_00083 -79.248867986847 -79.620243716541 -79.651712362469 -79.665041179944
ethane_00084 -79.237560016576 -79.609235187372 -79.640877971606 -79.654452234513
ethane_00085 -79.247431063708 -79.618932979967 -79.650476202667 -79.663912046148
ethane_00086 -79.249291770300 -79.619761452423 -79.651248324685 -79.664532688378
ethane_00087 -79.248045625685 -79.618870969619 -79.650361364490 -79.663644291504
ethane_00088 -79.246037961472 -79.617294439257 -79.648935493353 -79.662365266608
ethane_00089 -79.249140179261 -79.620530660581 -79.651930364890 -79.665218341250
ethane_00090 -79.253838231521 -79.624228361738 -79.655755655927 -79.669059858661
ethane_00091 -79.245050187319 -79.616234534827 -79.647880572168 -79.661404587002
ethane_00092 -79.249627664032 -79.620890285079 -79.652507435598 -79.665864442442
ethane_00093 -79.248956457790 -79.619442558465 -79.650978216801 -79.664370729906
ethane_00094 -79.247533422834 -79.619135086873 -79.650762446243 -79.664174164993
ethane_00095 -79.254026226424 -79.624418585663 -79.655934046588 -79.669237523157
ethane_00096 -79.247337422375 -79.618605999038 -79.650071868055 -79.663350858392
ethane_00097 -79.248829891844 -79.619396604818 -79.650988212636 -79.664375484630
ethane_00098 -79.245986655616 -79.617403210885 -79.648802021908 -79.662064566622
ethane_00099 -79.248532360813 -79.619387555529 -79.651059372558 -79.664474890828
ethane_00100 -79.249922429428 -79.620952661379 -79.652493768990 -79.665883823654
ethane_00101 -79.248524541159 -79.619841780162 -79.651541561540 -79.664946073296
ethane_00102 -79.249786620665 -79.620110884220 -79.651607409464 -79.664903521590
ethane_00103 -79.250562752157 -79.622064306482 -79.653806795570 -79.667270883696
ethane_00104 -79.252139541041 -79.622513044968 -79.653760268209 -79.666911949451
ethane_00105 -79.252241886087 -79.623398019363 -79.655100526847 -79.668506804039
ethane_00106 -79.251483314941 -79.622222512814 -79.653753699330 -79.667061712087
ethane_00107 -79.245501342529 -79.616340243377 -79.647790132922 -79.661090756130
ethane_00108 -79.250069984839 -79.621084983597 -79.652741256909 -79.666150077438
ethane_00109 -79.250662239046 -79.621481231265 -79.653019590210 -79.666395163422
ethane_00110 -79.253267483627 -79.623914519440 -79.655297406753 -79.668502700305
ethane_00111 -79.247170651269 -79.618493495048 -79.650275244147 -79.663795576989
ethane_00112 -79.250187297760 -79.621064090838 -79.652512361803 -79.665793464063
ethane_00113 -79.237765460194 -79.609959289551 -79.641494348518 -79.654943212129
ethane_00114 -79.249360043652 -79.620171503303 -79.652010273954 -79.665510969117
ethane_00115 -79.244959528805 -79.616608872237 -79.647850831760 -79.661077799911
ethane_00116 -79.248279760089 -79.619047883900 -79.650791813882 -79.664267647285
ethane_00117 -79.248188684484 -79.619604954853 -79.651319906803 -79.664794469351
ethane_00118 -79.246636595019 -79.617397482506 -79.648677707868 -79.661883002335
ethane_00119 -79.243808395395 -79.615307017272 -79.647460859418 -79.661230204782
ethane_00120 -79.253629038677 -79.623746095053 -79.654879860766 -79.667835663431
ethane_00121 -79.251401887655 -79.622541824563 -79.654310830032 -79.667876735584
ethane_00122 -79.251809481033 -79.622721752005 -79.654176733838 -79.667483195744
ethane_00123 -79.245114185343 -79.616263515943 -79.647640204062 -79.661046258421
ethane_00124 -79.246697323837 -79.618215645483 -79.650040500868 -79.663521117299
ethane_00125 -79.248634506277 -79.619893313999 -79.651564452986 -79.665041455789
ethane_00126 -79.249754369444 -79.620050561253 -79.651331151714 -79.664479277478
ethane_00127 -79.243816480281 -79.615682794743 -79.647282335383 -79.660703705045
ethane_00128 -79.245190532830 -79.616430492083 -79.648106000148 -79.661567352111
ethane_00129 -79.253191995230 -79.623497129606 -79.654824986116 -79.667948297341
ethane_00130 -79.242224806908 -79.614126113428 -79.645942546071 -79.659602336565
ethane_00131 -79.250469507695 -79.621026169566 -79.652366124351 -79.665539000637
ethane_00132 -79.244910487766 -79.616647752500 -79.648297355592 -79.661794613222
ethane_00133 -79.246083303824 -79.616776391293 -79.648306349921 -79.661574613209
ethane_00134 -79.250677660126 -79.621261558367 -79.652729055271 -79.665957804507
ethane_00135 -79.250925554943 -79.621702018670 -79.653317007465 -79.666689696538
ethane_00136 -79.252126225506 -79.623178492648 -79.654776736684 -79.668130570056
ethane_00137 -79.245621555999 -79.617000914054 -79.648476158922 -79.661841837508
ethane_00138 -79.246884573422 -79.617857394818 -79.649179274485 -79.662368611583
ethane_00139 -79.248779799463 -79.619695663914 -79.651568857708 -79.665046100109
ethane_00140 -79.244047713988 -79.615309273531 -79.646930254090 -79.660391785681
ethane_00141 -79.246567499024 -79.617633023008 -79.649451572391 -79.662940018493
ethane_00142 -79.243742109533 -79.615147818871 -79.646674907620 -79.660047334942
ethane_00143 -79.248938357620 -79.620035833551 -79.651489387949 -79.664882373490
ethane_00144 -79.249128454807 -79.620506426149 -79.651810082979 -79.665049789698
ethane_00145 -79.245110390068 -79.616461967927 -79.648294982665 -79.661872248773
ethane_00146 -79.248950402455 -79.620045396632 -79.651371927934 -79.664615915689
ethane_00147 -79.247394260032 -79.618270307618 -79.649623867307 -79.662809982249
ethane_00148 -79.243984221497 -79.615746851582 -79.647779687013 -79.661556883640
ethane_00149 -79.249746299400 -79.620175271195 -79.651293893985 -79.664301002537
ethane_00150 -79.242562142941 -79.614053608365 -79.645652024870 -79.659148839476
ethane_00151 -79.250821796461 -79.621361665411 -79.652533992896 -79.665569694806
ethane_00152 -79.243284661122 -79.614734739029 -79.646840622818 -79.660625349251
ethane_00153 -79.241605961139 -79.613398458888 -79.645327118909 -79.658850352850
ethane_00154 -79.243352059027 -79.613445837470 -79.644840766652 -79.658115262869
ethane_00155 -79.244266043563 -79.615949357711 -79.647583081262 -79.661031647070
ethane_00156 -79.245949295691 -79.617170170775 -79.649121679190 -79.662686545219
ethane_00157 -79.252340887798 -79.622208082394 -79.653458715898 -79.666519715444
ethane_00158 -79.246940332518 -79.618595167082 -79.650310497524 -79.663886065623
ethane_00159 -79.247778559874 -79.619018813422 -79.650456330079 -79.663931238601
ethane_00160 -79.247460188125 -79.619213274954 -79.650912426281 -79.664380323068
ethane_00161 -79.251895669584 -79.623012074631 -79.654734791198 -79.668195641517
ethane_00162 -79.250368456728 -79.621075384304 -79.652358856519 -79.665538289912
ethane_00163 -79.247370559052 -79.619299665851 -79.651099155678 -79.664685990301
ethane_00164 -79.247816331155 -79.619052187440 -79.650624510319 -79.664048960434
ethane_00165 -79.251252052493 -79.622172505241 -79.653690070357 -79.666986661149
ethane_00166 -79.247720625033 -79.619018051029 -79.650953031266 -79.664545613429
ethane_00167 -79.248155775226 -79.619697612371 -79.651359636472 -79.664804570650
ethane_00168 -79.256704006602 -79.626675751996 -79.658078342206 -79.671256490243
ethane_00169 -79.246427951743 -79.618169141364 -79.649931147320 -79.663422929238
ethane_00170 -79.250749641398 -79.621265682996 -79.652931735730 -79.666348521950
ethane_00171 -79.243375376387 -79.615278965841 -79.646558166243 -79.659822704828
ethane_00172 -79.247729860825 -79.618615579395 -79.650123498800 -79.663558711956
ethane_00173 -79.247433064798 -79.618804979294 -79.650147737411 -79.663437124640
ethane_00174 -79.249438461399 -79.620715987710 -79.652486487794 -79.665973203632
ethane_00175 -79.242859685833 -79.613083912237 -79.644072663795 -79.657030142814
ethane_00176 -79.241645891089 -79.613816734751 -79.645734969123 -79.659451571926
ethane_00177 -79.245954013976 -79.617289606754 -79.648539784574 -79.661839325865
ethane_00178 -79.245655429941 -79.617326679694 -79.649199434260 -79.662783353090
ethane_00179 -79.249728594976 -79.620243114426 -79.651857108530 -79.665207885530
ethane_00180 -79.247600444914 -79.618406518437 -79.649960870971 -79.663214445878
ethane_00181 -79.245509911219 -79.616666305072 -79.648414360565 -79.661917525508
ethane_00182 -79.244324496664 -79.614875092304 -79.646464061298 -79.659752212005
ethane_00183 -79.247324459172 -79.618498626083 -79.650270794510 -79.663688712707
ethane_00184 -79.249561138622 -79.620493954312 -79.652171838287 -79.665617359710
ethane_00185 -79.244367005630 -79.616134136590 -79.647835883990 -79.661305691375
ethane_00186 -79.244813175309 -79.615616783819 -79.647053718358 -79.660358813276
ethane_00187 -79.245321654430 -79.616948413760 -79.648462503686 -79.661909693831
ethane_00188 -79.245267880500 -79.616444631789 -79.647600794703 -79.660768751429
ethane_00189 -79.248974889108 -79.620381986714 -79.652080374759 -79.665609224528
ethane_00190 -79.244354129159 -79.616208975403 -79.647953716758 -79.661517677181
ethane_00191 -79.248422156002 -79.619583684374 -79.651112576172 -79.664508479002
ethane_00192 -79.244461404235 -79.616168200353 -79.648077349521 -79.661804758514
ethane_00193 -79.253948858220 -79.624264625761 -79.655740501891 -79.668937081287
ethane_00194 -79.250569552272 -79.621423911215 -79.652912663435 -79.666208127478
ethane_00195 -79.245567178421 -79.617041130306 -79.648602510058 -79.662015178139
ethane_00196 -79.251259153649 -79.622018223686 -79.653494937549 -79.666768505473
ethane_00197 -79.253302070786 -79.623985750417 -79.655556315323 -79.668923845409
ethane_00198 -79.251561362792 -79.622776681177 -79.654364330197 -79.667765675924
ethane_00199 -79.251717510090 -79.622195281862 -79.653883920976 -79.667296961028
ethane_00200 -79.245722477676 -79.617547316834 -79.649172470032 -79.662696969701
ethane_00201 -79.251585170831 -79.622373585889 -79.653615903790 -79.666749622059
ethane_00202 -79.251167902879 -79.621988515547 -79.653701396263 -79.667201810271
ethane_00203 -79.250164079919 -79.620855916790 -79.652573119416 -79.665996674675
ethane_00204 -79.244142880177 -79.615671190262 -79.647220648121 -79.660586732913
ethane_00205 -79.248713395027 -79.619195843356 -79.650762913638 -79.664066696559
ethane_00206 -79.245013987723 -79.616705631554 -79.648334506101 -79.661794419160
ethane_00207 -79.252265210403 -79.623187004830 -79.654769325481 -79.668195422852
ethane_00208 -79.251766261888 -79.622507878120 -79.653834803185 -79.667032577058
ethane_00209 -79.248973023805 -79.620175927776 -79.651703212262 -79.665116169028
ethane_00210 -79.253788634768 -79.624184073743 -79.655771529954 -79.669100913484
ethane_00211 -79.242652988524 -79.614733270638 -79.646610429609 -79.660231158763
ethane_00212 -79.249050239625 -79.620305825611 -79.651859977266 -79.665263812022
ethane_00213 -79.245271310019 -79.616582331706 -79.647781134713 -79.660993327666
ethane_00214 -79.246742008304 -79.618065262888 -79.649831411198 -79.663350986383
ethane_00215 -79.246292430946 -79.617479255495 -79.649148648070 -79.662493529593
ethane_00216 -79.250873766296 -79.621425351793 -79.652958976244 -79.666283745630
ethane_00217 -79.246230894913 -79.617716212847 -79.649465735444 -79.662919798352
ethane_00218 -79.246219255419 -79.617207311894 -79.648979615952 -79.662488334110
ethane_00219 -79.247232492824 -79.618599851723 -79.650165830977 -79.663507763216
ethane_00220 -79.249841917007 -79.620618454884 -79.652292379338 -79.665759645606
ethane_00221 -79.249346706824 -79.620132175981 -79.651731200546 -79.665014923419
ethane_00222 -79.249395347547 -79.620195911018 -79.651835933993 -79.665166294769
ethane_00223 -79.250494913437 -79.621754776261 -79.653431235999 -79.666887665582
ethane_00224 -79.254351068804 -79.625069047368 -79.656620295341 -79.669911302672
ethane_00225 -79.252717723354 -79.623336574897 -79.654881455221 -79.668279188579
ethane_00226 -79.251043210405 -79.622277774338 -79.653935537156 -79.667364669863
ethane_00227 -79.252431905339 -79.622943243231 -79.654300468977 -79.667526310663
ethane_00228 -79.251605585869 -79.622745899380 -79.654519879387 -79.667986792071
ethane_00229 -79.249613869065 -79.620246765616 -79.651356639883 -79.664403687451
ethane_00230 -79.247658337927 -79.618876912393 -79.650666811438 -79.664269395800
ethane_00231 -79.248856944038 -79.620333400725 -79.652055903384 -79.665461604497
ethane_00232 -79.250334954174 -79.620570284071 -79.651989859240 -79.665282308010
ethane_00233 -79.253825015389 -79.624627638127 -79.656126857741 -79.669376807967
ethane_00234 -79.247578023349 -79.619094472720 -79.650791349499 -79.664316907088
ethane_00235 -79.251089204087 -79.621880659205 -79.653389810099 -79.666622299491
ethane_00236 -79.246435648684 -79.617676860542 -79.649282113038 -79.662779782096
ethane_00237 -79.250553404342 -79.621713333061 -79.653331605772 -79.666786685480
ethane_00238 -79.247953726146 -79.619016515719 -79.650525916692 -79.663810529397
ethane_00239 -79.244016721764 -79.615075390419 -79.646546015330 -79.659882658205
ethane_00240 -79.250266835548 -79.621396496208 -79.653054144332 -79.666450183880
ethane_00241 -79.252809293307 -79.623726185138 -79.655438981380 -79.668894353927
ethane_00242 -79.253034755937 -79.623934654523 -79.655528865305 -79.668851549295
ethane_00243 -79.247922122273 -79.618882886844 -79.650480244380 -79.663947651151
ethane_00244 -79.249887177445 -79.621015455929 -79.652587597986 -79.665934492768
ethane_00245 -79.249474668185 -79.620576622189 -79.652175251338 -79.665587690998
ethane_00246 -79.249460916008 -79.620537116222 -79.651887613670 -79.665101110574
ethane_00247 -79.244710542481 -79.616174282792 -79.647839322338 -79.661395767854
ethane_00248 -79.251696254763 -79.622322027748 -79.653877351465 -79.667300743249
ethane_00249 -79.249053079884 -79.620291902836 -79.651837842114 -79.665159045502
ethane_00250 -79.246058088516 -79.617539826643 -79.649558632201 -79.663285227946
ethane_00251 -79.246002624969 -79.617059490990 -79.648278403608 -79.661425074678
ethane_00252 -79.249386338805 -79.619937243962 -79.651674692664 -79.665188490740
ethane_00253 -79.252379938722 -79.623390869061 -79.654849439279 -79.668101982507
ethane_00254 -79.250318946382 -79.620772915472 -79.652356517735 -79.665739299968
ethane_00255 -79.250575307472 -79.621857066059 -79.653476775143 -79.666861564745
ethane_00256 -79.253398290969 -79.623755596888 -79.655136628805 -79.668319444664
