#Geometry,HF/cc-pVTZ,MP2/cc-pVTZ,CCSD/cc-pVTZ,CCSD(T)/cc-pVTZ,HF@pyscf+ccpvtz,CCSD@pyscf+ccpvtz,CCSD(T)@pyscf+ccpvtz,DFT(PBE)@pyscf+ccpvtz
methane_00026,-40.209456252251,-40.4082847333,-40.428741266648004,-40.435007101886,-40.209454817514725,-40.445235617930514,-40.45179378822538,-40.46073200976768
methane_00027,-40.206896833316996,-40.405897866093,-40.42637615464,-40.432666010742004,-40.20689558886917,-40.44284639820904,-40.44942994178271,-40.45851777403041
methane_00028,-40.20578221166,-40.404935181789,-40.425528173683,-40.431878118243,-40.20578113312297,-40.44191467297736,-40.44855994754383,-40.45797118726067
methane_00029,-40.209763676206,-40.408395789258996,-40.428764257047,-40.434972326248,-40.209762004599085,-40.4453924671256,-40.45189120425609,-40.460403312124654
methane_00030,-40.205185217669,-40.404187391533,-40.424414467781,-40.430618406083,-40.205183311289545,-40.44116762725314,-40.44766462690483,-40.45601013932672
methane_00031,-40.206884837924,-40.405985796877,-40.426395969794,-40.432678360127,-40.2068834055238,-40.442896795454374,-40.449473318407684,-40.45849187607683
methane_00032,-40.206858884826005,-40.405834482398,-40.426326293889,-40.432618864781,-40.20685749323889,-40.44282857903146,-40.44941497769472,-40.45844459103409
methane_00033,-40.208154169285,-40.407066484352,-40.427564741705,-40.433854528499,-40.20815283461824,-40.444041400522984,-40.450624381357756,-40.45967311902534
methane_00034,-40.208885145616996,-40.407488468762004,-40.427944930393,-40.434171586476005,-40.20888365998343,-40.44452702953535,-40.451044521493024,-40.45971159702452
methane_00035,-40.208530751678,-40.407293572617,-40.427884017981,-40.434179392587,-40.208529621512994,-40.44430847630647,-40.45089620854263,-40.4600452154732
methane_00036,-40.208818655081004,-40.407462312473,-40.427935198037,-40.43417280634,-40.20881723762066,-40.444488417449854,-40.451017168991214,-40.4597719083893
methane_00037,-40.208343936226,-40.407270337564,-40.427736564319,-40.434014743556,-40.20834257917251,-40.444210918302005,-40.45078218340802,-40.45981232783456
methane_00038,-40.205950845956,-40.405159514659,-40.425627805211,-40.431947659201995,-40.20594943655751,-40.442101794446316,-40.44871703564311,-40.45789534256718
methane_00039,-40.206498398579,-40.405319084167,-40.425749473717,-40.431995432609,-40.20649688717318,-40.44235652631647,-40.44889503701511,-40.45761530967904
methane_00040,-40.204935167395,-40.40426312022,-40.424880735539,-40.431258941934,-40.20493419927356,-40.44118556817373,-40.44786037280005,-40.457527306130764
methane_00041,-40.207806672622,-40.406066710173,-40.426202678307,-40.432271107473,-40.20780430642415,-40.44319646854951,-40.4495522366316,-40.456995198938806
methane_00042,-40.20163133496,-40.400884502657,-40.421802327827,-40.428253779537,-40.20163094510289,-40.43795682516161,-40.44470537591132,-40.454850649756274
methane_00043,-40.207653499032,-40.405704075042,-40.425811828237,-40.431842461344,-40.20765093391782,-40.442913910835436,-40.44923042221402,-40.456339228523376
methane_00044,-40.204918437989,-40.404240765882,-40.424905204002,-40.431300592141,-40.204917583528044,-40.44118147053773,-40.447873532547106,-40.457614194003206
methane_00045,-40.209366594576004,-40.407740629897,-40.427910375023,-40.434013621302,-40.209364286238504,-40.4448144874763,-40.45120600274245,-40.458903504791195
methane_00046,-40.205823693207,-40.405019760289996,-40.425705793297,-40.432088307621996,-40.205822889589584,-40.441954248804606,-40.44863236457086,-40.45838463089628
methane_00047,-40.210936532145,-40.409112887146,-40.42925743541,-40.435329158242,-40.210934123001586,-40.44620541583564,-40.45256385004378,-40.46004873921412
methane_00048,-40.207783051625,-40.406517192860996,-40.42703600883,-40.433299604621,-40.20778173048253,-40.443556677855085,-40.450112329914774,-40.45901296124683
methane_00049,-40.210589958283,-40.409186701209,-40.429645993208,-40.435881711471,-40.210588439111326,-40.446196515268085,-40.452723002447634,-40.461447770217
methane_00050,-40.208675989662,-40.407234667175004,-40.427583048053,-40.433768303676,-40.208674196978656,-40.44428274019525,-40.45075816225089,-40.45908660166684
methane_00051,-40.204403106778,-40.403765079501,-40.424221101568996,-40.430556933581,-40.20440170501428,-40.44070695227203,-40.44733930558774,-40.456562057939465
methane_00052,-40.209267261454,-40.407976059074,-40.428449813533,-40.434701048107,-40.209265896149525,-40.44496634424855,-40.4515091396827,-40.46036244471833
methane_00053,-40.210914147984,-40.409321213426,-40.429655337559,-40.435823510146996,-40.21091223251466,-40.446379429118046,-40.45283667212739,-40.46103549564097
methane_00054,-40.205921677,-40.404733661296,-40.425209483485,-40.431462609212,-40.20592017657093,-40.44180185399857,-40.44834760129685,-40.4571308836557
methane_00055,-40.205623535808,-40.404896753498996,-40.425538743535,-40.431916753657,-40.20562266222404,-40.44179859991231,-40.448472646558024,-40.45820759470706
methane_00056,-40.206476764929,-40.405599154727994,-40.425890543341,-40.432138785664,-40.20647514442074,-40.442504513501554,-40.4490466023523,-40.45775876313313
methane_00057,-40.205750559258,-40.404993568877,-40.425437257179,-40.431752673564,-40.20574922658399,-40.44191143506342,-40.44852220834302,-40.45768294565997
methane_00058,-40.208731217769,-40.407605593449,-40.428191468567,-40.434502808108,-40.20873010958568,-40.444566957589316,-40.45117132453132,-40.46045700720456
methane_00059,-40.209420340031,-40.40784384064,-40.428236875423,-40.434421376222,-40.209418550772625,-40.44494793240437,-40.451421910512494,-40.4597079117741
methane_00060,-40.209158450996,-40.408005680193,-40.4286466768,-40.434975143951,-40.209157464600615,-40.444976274079586,-40.451597778842704,-40.46100348624163
methane_00061,-40.21050387232,-40.40902045327,-40.429321721918996,-40.435493883084,-40.2105019691599,-40.44603623263173,-40.45249803018325,-40.46073339590196
methane_00062,-40.210995038002,-40.4095647848,-40.43001042723,-40.436240266479004,-40.21099345332903,-40.446579114630836,-40.45309952623805,-40.46176317232568
methane_00063,-40.206666547539,-40.405719119382,-40.426429225277,-40.432802584348,-40.20666573736642,-40.442698551197864,-40.44936675907558,-40.45904602335335
methane_00064,-40.208188062405,-40.406776815502,-40.427149232682,-40.433344834094,-40.20818635531154,-40.4438319597411,-40.450318136377845,-40.45872918056686
methane_00065,-40.209882893634,-40.408603680043,-40.429085291945,-40.435344240268,-40.20988153895583,-40.44557872531209,-40.45212931450149,-40.461033033147345
methane_00066,-40.203466753677,-40.403045310736,-40.42375747213,-40.430205256815,-40.20346603477819,-40.439935577097245,-40.44668216164479,-40.45676950425414
methane_00067,-40.207198786608,-40.405969174654004,-40.426282504376005,-40.43248612067,-40.20719689994583,-40.44299654417251,-40.449491883239766,-40.45787452566081
methane_00068,-40.210576288884,-40.409095633157,-40.429511185218,-40.435721967557996,-40.21057461139901,-40.44613566993285,-40.45263661449272,-40.461151419891564
methane_00069,-40.208190886935,-40.407073917184,-40.427777695425,-40.434129029818,-40.208190044651076,-40.44407025524702,-40.450715144482565,-40.46026144627033
methane_00070,-40.211186583947,-40.409619783901,-40.4300478998,-40.436250024654,-40.21118494317958,-40.44666374651564,-40.45315534750629,-40.46164713277382
methane_00071,-40.206531348285,-40.405226776412,-40.425539171222,-40.431725726191004,-40.2065295297619,-40.442275892167785,-40.44875352496465,-40.457051772797826
methane_00072,-40.206330389454,-40.405364977797,-40.425901487421996,-40.432213569111,-40.20632926165139,-40.442333942004566,-40.4489401903464,-40.45816116818099
methane_00073,-40.208745518031,-40.407191454204,-40.427601309555,-40.43379202726,-40.20874374380047,-40.44431635639851,-40.45079687879654,-40.459104103905624
methane_00074,-40.209491544022995,-40.408030349214,-40.428545864639,-40.434785629245,-40.20949018454844,-40.44508582340932,-40.45161613029597,-40.460380606673056
methane_00075,-40.2104199683,-40.408608881661,-40.428764760759,-40.434841582985,-40.210417526800164,-40.44572682564068,-40.45209058577303,-40.45957024788737
methane_00076,-40.202880332744996,-40.402334081325,-40.423056627939,-40.429478272846,-40.2028796340943,-40.43926807587664,-40.4459874095072,-40.45594284531931
methane_00077,-40.210014000015995,-40.408146430738,-40.428205783294004,-40.434241140921,-40.2100112899502,-40.44526658606285,-40.4515881211194,-40.458761421477945
methane_00078,-40.206866822429,-40.40578708095,-40.426293336996004,-40.432579218658,-40.206865501277946,-40.4427882608467,-40.44936744112252,-40.45839696465538
methane_00079,-40.205333866404,-40.404473663934,-40.425042518356,-40.431374781615,-40.205332833198355,-40.44142510579323,-40.44805232336163,-40.45743620788832
methane_00080,-40.2097036528,-40.408207357593,-40.428471991248,-40.434629201348,-40.209701594321054,-40.445256545441445,-40.45170332165189,-40.45976973108529
methane_00081,-40.205830510879004,-40.40506331828,-40.425435337083,-40.431723386509,-40.20582889463624,-40.44197479476319,-40.44855795152255,-40.45755015452278
methane_00082,-40.208404515721995,-40.407137232229,-40.427560395937,-40.433798385117996,-40.20840289833003,-40.44416779370867,-40.45069753371212,-40.459360368795835
methane_00083,-40.208515840077,-40.407084192956,-40.427507875357,-40.433718400326,-40.20851428062041,-40.44413991384721,-40.45064094336858,-40.4591708269181
methane_00084,-40.20921335351,-40.408086585563005,-40.428791789190996,-40.435145799232004,-40.2092125649652,-40.44504648132788,-40.45169384503246,-40.4613054416741
methane_00085,-40.212001658639004,-40.410124094755,-40.430385538728,-40.436489949544,-40.21199951036415,-40.44722828248508,-40.45361942818142,-40.461382467395055
methane_00086,-40.21108945541,-40.40951527726,-40.429899043537,-40.436084588768,-40.211087720631994,-40.44655345488548,-40.45302825192401,-40.46140414461948
methane_00087,-40.209117814139,-40.407763459751,-40.428350962634,-40.434629651876996,-40.20911662080505,-40.444810345049895,-40.451380622364226,-40.460409082846
methane_00088,-40.206795130145004,-40.405448417947,-40.425983775159004,-40.432238461193,-40.2067937462105,-40.44256472948233,-40.44911115731095,-40.457889193883574
methane_00089,-40.203274099356996,-40.40236468694,-40.422804164865,-40.429074617,-40.20327273427548,-40.43936540234498,-40.44593009630159,-40.45486017496032
methane_00090,-40.204775021353996,-40.403701709806,-40.423825094069,-40.429987769901,-40.204772814435934,-40.44072109771855,-40.44717594826756,-40.45513405912509
methane_00091,-40.204635897967,-40.404026397308,-40.424576264638,-40.430941638859004,-40.20463483524415,-40.44090898696985,-40.44757102705736,-40.457159629967194
methane_00092,-40.204118338734006,-40.403049248084,-40.423127659008,-40.429268580225,-40.204116014887475,-40.44004334682792,-40.446476373843176,-40.454369025979915
methane_00093,-40.2057045249,-40.404894983618,-40.425251013266,-40.431529565897,-40.20570282468874,-40.441833483807514,-40.44840696454794,-40.45728709036179
methane_00094,-40.202408703177,-40.401932507373,-40.422707508677,-40.429156108352,-40.202408204084975,-40.43885516378557,-40.44560218339759,-40.455758312594966
methane_00095,-40.208235922501004,-40.406539867608,-40.426684149085,-40.432767413174,-40.20823348931957,-40.4436728536827,-40.45004392087673,-40.457525611072086
methane_00096,-40.203617773225005,-40.403073818718,-40.423957919573,-40.430438807074,-40.20361750681391,-40.43998831005923,-40.446767325541956,-40.45720205163197
methane_00097,-40.208254629346,-40.40704740961,-40.427607898555,-40.433893796867,-40.20825346441495,-40.44404449642631,-40.4506228195647,-40.459735776054146
methane_00098,-40.210814391225,-40.409123118462,-40.429378647035996,-40.43550643353,-40.21081223809671,-40.44620502958353,-40.45262097300823,-40.460510650462496
methane_00099,-40.207753501100996,-40.406757237339,-40.427492575856,-40.433870115187,-40.20775279388369,-40.44370921560879,-40.45038113144838,-40.46014825437717
methane_00100,-40.209789891769,-40.407936936202,-40.428168040962,-40.434257453069,-40.209787684387614,-40.44507813123551,-40.45145444275017,-40.45908355880304
ethane_00000,-79.256658383265,-79.627373417873,-79.65904202591099,-79.67239979578301,0.0,0.0,0.0,0.0
ethane_00001,-79.242231744808,-79.61420201444,-79.645680480536,-79.659245307226,0.0,0.0,0.0,0.0
ethane_00002,-79.245632997522,-79.61722520055899,-79.648551484207,-79.661919804476,0.0,0.0,0.0,0.0
ethane_00003,-79.246638531619,-79.617900062207,-79.649573378062,-79.663006917505,0.0,0.0,0.0,0.0
ethane_00004,-79.246147328475,-79.617166779657,-79.648948173744,-79.66251111314,0.0,0.0,0.0,0.0
ethane_00005,-79.24830238215,-79.61914426164,-79.65058345951199,-79.663761515072,0.0,0.0,0.0,0.0
ethane_00006,-79.244292634246,-79.615365988396,-79.647044678555,-79.66049318379301,0.0,0.0,0.0,0.0
ethane_00007,-79.25181407723299,-79.622737183387,-79.654313841783,-79.66765153268099,0.0,0.0,0.0,0.0
ethane_00008,-79.249158928815,-79.620274583401,-79.65205888042,-79.665526103589,0.0,0.0,0.0,0.0
ethane_00009,-79.250573219645,-79.62114046930199,-79.65268170760899,-79.665949127745,0.0,0.0,0.0,0.0
ethane_00010,-79.249336023942,-79.620507418325,-79.652077828988,-79.665520465957,0.0,0.0,0.0,0.0
ethane_00011,-79.24729513788999,-79.61849982519101,-79.64980807018,-79.663025226433,0.0,0.0,0.0,0.0
ethane_00012,-79.245905396533,-79.617026943559,-79.648744030591,-79.662241022133,0.0,0.0,0.0,0.0
ethane_00013,-79.249720090773,-79.620400697818,-79.651748776466,-79.66493323663,0.0,0.0,0.0,0.0
ethane_00014,-79.253181451516,-79.62401789638099,-79.65576703996601,-79.66919385392299,0.0,0.0,0.0,0.0
ethane_00015,-79.253145922174,-79.62345087104,-79.654786342397,-79.667967470544,0.0,0.0,0.0,0.0
ethane_00016,-79.249698406063,-79.620706229743,-79.652428558311,-79.665900046089,0.0,0.0,0.0,0.0
ethane_00017,-79.255119636573,-79.625355381381,-79.656796089566,-79.669967251746,0.0,0.0,0.0,0.0
ethane_00018,-79.247039090814,-79.618667646897,-79.650352231585,-79.663851615426,0.0,0.0,0.0,0.0
ethane_00019,-79.249718191315,-79.620878327516,-79.652373649759,-79.665679251542,0.0,0.0,0.0,0.0
ethane_00020,-79.24749493493,-79.61812379072799,-79.649848210708,-79.663291111903,0.0,0.0,0.0,0.0
ethane_00021,-79.250978179359,-79.622273191943,-79.654042540287,-79.667477004776,0.0,0.0,0.0,0.0
ethane_00022,-79.251134867595,-79.622280126456,-79.653734320713,-79.66702755911899,0.0,0.0,0.0,0.0
ethane_00023,-79.25049243244099,-79.621256699304,-79.65268192582501,-79.665951341868,0.0,0.0,0.0,0.0
ethane_00024,-79.245178419914,-79.617038822499,-79.648687583962,-79.662188126709,0.0,0.0,0.0,0.0
ethane_00025,-79.245618588825,-79.617016998667,-79.648717757141,-79.662270122943,0.0,0.0,0.0,0.0
ethane_00026,-79.253349710976,-79.623921790098,-79.655392339849,-79.668706389745,0.0,0.0,0.0,0.0
ethane_00027,-79.249817818815,-79.621005987793,-79.652676160491,-79.666066312779,0.0,0.0,0.0,0.0
ethane_00028,-79.249225588567,-79.620366825904,-79.651903324903,-79.665262490746,0.0,0.0,0.0,0.0
ethane_00029,-79.254116737366,-79.624279423025,-79.655606846458,-79.668729886913,0.0,0.0,0.0,0.0
ethane_00030,-79.251483867774,-79.622319879723,-79.654005778751,-79.667405956916,0.0,0.0,0.0,0.0
ethane_00031,-79.25250783325,-79.623062669736,-79.654326591523,-79.66746615183699,0.0,0.0,0.0,0.0
ethane_00032,-79.251882787171,-79.62257392432001,-79.654090129588,-79.667476340123,0.0,0.0,0.0,0.0
ethane_00033,-79.252520901358,-79.623341534643,-79.654836659069,-79.668132728815,0.0,0.0,0.0,0.0
ethane_00034,-79.237161155874,-79.610002198225,-79.64169378784099,-79.655468689425,0.0,0.0,0.0,0.0
ethane_00035,-79.249897281076,-79.620644235838,-79.651969887296,-79.665186707012,0.0,0.0,0.0,0.0
ethane_00036,-79.25064307474,-79.621745724719,-79.653574965502,-79.66708213749699,0.0,0.0,0.0,0.0
ethane_00037,-79.250283334622,-79.621481892287,-79.652983338773,-79.666318614863,0.0,0.0,0.0,0.0
ethane_00038,-79.254773516691,-79.62506240871001,-79.656573786021,-79.66986405560199,0.0,0.0,0.0,0.0
ethane_00039,-79.242685654919,-79.615005837927,-79.64684073292901,-79.660513593152,0.0,0.0,0.0,0.0
ethane_00040,-79.25208918281,-79.621641593747,-79.65287893264,-79.665905673594,0.0,0.0,0.0,0.0
ethane_00041,-79.245937820281,-79.617740986247,-79.649674927235,-79.663278283003,0.0,0.0,0.0,0.0
ethane_00042,-79.241020383654,-79.612688290855,-79.644537081277,-79.658115515901,0.0,0.0,0.0,0.0
ethane_00043,-79.248260777689,-79.61871140390099,-79.650301464598,-79.663591299226,0.0,0.0,0.0,0.0
ethane_00044,-79.241595637281,-79.613728264187,-79.645556634863,-79.659218018856,0.0,0.0,0.0,0.0
ethane_00045,-79.248363011324,-79.619152973078,-79.650563722352,-79.663793721068,0.0,0.0,0.0,0.0
ethane_00046,-79.24033458467599,-79.612526981539,-79.644180964228,-79.657795618053,0.0,0.0,0.0,0.0
ethane_00047,-79.249287561484,-79.61980122694101,-79.651125868853,-79.664254614421,0.0,0.0,0.0,0.0
ethane_00048,-79.249710176238,-79.620996191123,-79.65273330584,-79.666219326869,0.0,0.0,0.0,0.0
ethane_00049,-79.250345442041,-79.621364757181,-79.653072314517,-79.666472114478,0.0,0.0,0.0,0.0
ethane_00050,-79.253264071102,-79.623656520856,-79.655002911628,-79.668164103047,0.0,0.0,0.0,0.0
ethane_00051,-79.248642997923,-79.620127429706,-79.651974453311,-79.66558818674599,0.0,0.0,0.0,0.0
ethane_00052,-79.25428237868499,-79.62455073536199,-79.655916269735,-79.669013330469,0.0,0.0,0.0,0.0
ethane_00053,-79.250286063632,-79.620927697261,-79.652585005477,-79.665931874017,0.0,0.0,0.0,0.0
ethane_00054,-79.251651581538,-79.622835160322,-79.654441065865,-79.667791206993,0.0,0.0,0.0,0.0
ethane_00055,-79.2523148817,-79.622843638301,-79.654385142021,-79.66768292591401,0.0,0.0,0.0,0.0
ethane_00056,-79.245579104982,-79.617045724685,-79.648468441831,-79.661794662441,0.0,0.0,0.0,0.0
ethane_00057,-79.25278601837401,-79.623409027693,-79.655017199401,-79.66836306440601,0.0,0.0,0.0,0.0
ethane_00058,-79.25139468354399,-79.622419634819,-79.654105318665,-79.667535643576,0.0,0.0,0.0,0.0
ethane_00059,-79.249619428628,-79.62035377171,-79.651810364927,-79.665172370883,0.0,0.0,0.0,0.0
ethane_00060,-79.244770063746,-79.61624273529101,-79.647831665997,-79.661241851066,0.0,0.0,0.0,0.0
ethane_00061,-79.250768543628,-79.62122124779701,-79.652704998252,-79.665940618568,0.0,0.0,0.0,0.0
ethane_00062,-79.252035463492,-79.622822447438,-79.654352847142,-79.667660750384,0.0,0.0,0.0,0.0
ethane_00063,-79.254291765401,-79.62499305162599,-79.656446848485,-79.669708257534,0.0,0.0,0.0,0.0
ethane_00064,-79.24757608799099,-79.618766009319,-79.650724585715,-79.664373679307,0.0,0.0,0.0,0.0
ethane_00065,-79.243667727236,-79.615275369378,-79.646489169931,-79.659722192684,0.0,0.0,0.0,0.0
ethane_00066,-79.242949021739,-79.614371305159,-79.646061656567,-79.659669980682,0.0,0.0,0.0,0.0
ethane_00067,-79.2408159394,-79.613292366064,-79.644864889589,-79.65833992527,0.0,0.0,0.0,0.0
ethane_00068,-79.247628222535,-79.618247494948,-79.649796358334,-79.663225171292,0.0,0.0,0.0,0.0
ethane_00069,-79.24716990206899,-79.618860929161,-79.65057009461701,-79.664050622098,0.0,0.0,0.0,0.0
ethane_00070,-79.248621859705,-79.61940594262299,-79.650735397682,-79.663947346717,0.0,0.0,0.0,0.0
ethane_00071,-79.241958667511,-79.613620915341,-79.645532841686,-79.65927092961199,0.0,0.0,0.0,0.0
ethane_00072,-79.249453695892,-79.620436888079,-79.652117218863,-79.665464426345,0.0,0.0,0.0,0.0
ethane_00073,-79.246503956798,-79.61755147247099,-79.649170308808,-79.662604676971,0.0,0.0,0.0,0.0
ethane_00074,-79.25045909371,-79.62134675469,-79.652918396868,-79.66623174407799,0.0,0.0,0.0,0.0
ethane_00075,-79.24819951261401,-79.619639979318,-79.65136760724,-79.66480531464799,0.0,0.0,0.0,0.0
ethane_00076,-79.253839288718,-79.623925620918,-79.655233402633,-79.66833216491399,0.0,0.0,0.0,0.0
ethane_00077,-79.244016154475,-79.615913616694,-79.64741254844,-79.660832449782,0.0,0.0,0.0,0.0
ethane_00078,-79.243031329921,-79.615060272501,-79.64669715680701,-79.66023164150799,0.0,0.0,0.0,0.0
ethane_00079,-79.246101372057,-79.61702060313401,-79.648403027766,-79.661609038067,0.0,0.0,0.0,0.0
ethane_00080,-79.244975689325,-79.61584551882301,-79.647555937405,-79.661082496969,0.0,0.0,0.0,0.0
ethane_00081,-79.242801996746,-79.61441863066399,-79.645906731583,-79.65919843614,0.0,0.0,0.0,0.0
ethane_00082,-79.252840508174,-79.623356428473,-79.655027889384,-79.66841586038801,0.0,0.0,0.0,0.0
ethane_00083,-79.248867986847,-79.620243716541,-79.651712362469,-79.665041179944,0.0,0.0,0.0,0.0
ethane_00084,-79.237560016576,-79.609235187372,-79.640877971606,-79.654452234513,0.0,0.0,0.0,0.0
ethane_00085,-79.247431063708,-79.618932979967,-79.650476202667,-79.663912046148,0.0,0.0,0.0,0.0
ethane_00086,-79.24929177029999,-79.619761452423,-79.651248324685,-79.664532688378,0.0,0.0,0.0,0.0
ethane_00087,-79.248045625685,-79.618870969619,-79.65036136449001,-79.663644291504,0.0,0.0,0.0,0.0
ethane_00088,-79.246037961472,-79.61729443925701,-79.64893549335301,-79.662365266608,0.0,0.0,0.0,0.0
ethane_00089,-79.249140179261,-79.620530660581,-79.65193036489,-79.66521834125,0.0,0.0,0.0,0.0
ethane_00090,-79.253838231521,-79.624228361738,-79.655755655927,-79.669059858661,0.0,0.0,0.0,0.0
ethane_00091,-79.24505018731901,-79.616234534827,-79.64788057216799,-79.661404587002,0.0,0.0,0.0,0.0
ethane_00092,-79.249627664032,-79.620890285079,-79.652507435598,-79.665864442442,0.0,0.0,0.0,0.0
ethane_00093,-79.24895645779,-79.61944255846501,-79.65097821680101,-79.664370729906,0.0,0.0,0.0,0.0
ethane_00094,-79.247533422834,-79.619135086873,-79.650762446243,-79.664174164993,0.0,0.0,0.0,0.0
ethane_00095,-79.254026226424,-79.62441858566301,-79.655934046588,-79.669237523157,0.0,0.0,0.0,0.0
ethane_00096,-79.247337422375,-79.618605999038,-79.650071868055,-79.663350858392,0.0,0.0,0.0,0.0
ethane_00097,-79.248829891844,-79.61939660481801,-79.65098821263601,-79.66437548463,0.0,0.0,0.0,0.0
ethane_00098,-79.245986655616,-79.617403210885,-79.648802021908,-79.66206456662199,0.0,0.0,0.0,0.0
ethane_00099,-79.248532360813,-79.619387555529,-79.65105937255801,-79.664474890828,0.0,0.0,0.0,0.0
ethane_00100,-79.249922429428,-79.62095266137901,-79.65249376899,-79.665883823654,0.0,0.0,0.0,0.0
ethane_00101,-79.248524541159,-79.619841780162,-79.65154156154,-79.66494607329601,0.0,0.0,0.0,0.0
ethane_00102,-79.24978662066499,-79.62011088422,-79.65160740946399,-79.66490352159,0.0,0.0,0.0,0.0
ethane_00103,-79.250562752157,-79.622064306482,-79.65380679557,-79.667270883696,0.0,0.0,0.0,0.0
ethane_00104,-79.252139541041,-79.622513044968,-79.653760268209,-79.66691194945099,0.0,0.0,0.0,0.0
ethane_00105,-79.25224188608699,-79.62339801936301,-79.655100526847,-79.668506804039,0.0,0.0,0.0,0.0
ethane_00106,-79.251483314941,-79.62222251281399,-79.65375369933,-79.667061712087,0.0,0.0,0.0,0.0
ethane_00107,-79.245501342529,-79.616340243377,-79.647790132922,-79.66109075613,0.0,0.0,0.0,0.0
ethane_00108,-79.250069984839,-79.621084983597,-79.652741256909,-79.666150077438,0.0,0.0,0.0,0.0
ethane_00109,-79.25066223904601,-79.62148123126501,-79.65301959021,-79.66639516342201,0.0,0.0,0.0,0.0
ethane_00110,-79.253267483627,-79.62391451944,-79.655297406753,-79.668502700305,0.0,0.0,0.0,0.0
